date_time,1AA1_1,1AA1_2,1AA1_3,1AA1_4,1AA1_5,1AA2_1,1AA2_2,1AA3_1,1AA3_2,1AA4_1,1AA5_1,1AA6_1,1AA7_1,2AA1_1,2AA2_1,2AA3_1,2AA4_1,2AA4_2,2AA5_1,2AA5_2,2AA5_3,2AA5_4,2AA5_5,2AA5_6,2AA5_7,2AA6_1,2AA7_1,2AA7_2,2AA8_1,2AA8_2,2AA8_3,2AA8_4,2AA8_5,2AA8_6,2AA8_7,2AA9_1,2AA9_2,2AA9_3,2AA9_4,2AA9_5,2AA9_6,2AA9_7
2019-01-02T12:00:00,0,0,0,0,0,2848.56,2578194.75,1663292,84995.04,0.36,0.12,10,4325828,5819909.5,0,2.88,135961.59,0,307631.03,784572.81,63658.56,709945.75,0,0,1110.64,3848454.75,579081.62,8193.92,0,1712.4,36710.97,1207493.12,389909.69,587997,45391.42,684112.88,23237.54,60789.9,221657.23,0,0.01,798.98
2019-01-02T13:00:00,0,0,0,0,0,2849.28,2578257.5,1663350.38,84995.04,0.36,0.12,10,4325952,5820080,0,2.88,135963.84,0,307651.97,784595.5,63659.32,709978.75,0,0,1110.64,3848546.75,579107.69,8193.92,0,1712.44,36711.99,1207508.12,389919.47,588014.5,45391.42,684112.88,23237.84,60791.46,221661.8,0,0.01,798.98
2019-01-02T14:00:00,0,0,0,0,0,2850,2578321,1663406,84995.04,0.36,0.12,10,4326072,5820249.5,0,2.88,135966.23,0,307672.84,784618.06,63660.08,710011.75,0,0,1110.64,3848637.5,579132.19,8193.92,0,1712.44,36713.01,1207522.5,389929.31,588032.31,45391.42,684112.88,23238.08,60792.81,221666.31,0,0.01,798.98
2019-01-02T15:00:00,0,0,0,0,0,2850.72,2578383.75,1663464.38,84995.04,0.36,0.12,10,4326195,5820423,0,2.88,135968.48,0,307693.72,784640.5,63660.84,710046.31,0,0,1110.64,3848730.75,579159.38,8193.92,0,1712.48,36714.03,1207537,389939.38,588049.81,45391.42,684112.88,23238.34,60794.4,221670.84,0,0.01,798.98
2019-01-02T16:00:00,0,0,0,0,0,2851.44,2578446.75,1663525.62,84995.04,0.36,0.12,10,4326320.5,5820600,0,2.88,135970.72,0,307714.41,784662.75,63661.64,710081.81,0,0,1110.64,3848826.75,579188,8193.92,0,1712.48,36715.11,1207551.88,389949.38,588068.12,45391.42,684112.88,23238.66,60795.69,221675.31,0,0.01,798.98
2019-01-02T17:00:00,0,0,0,0,0,2852.16,2578509.5,1663586.38,84995.04,0.36,0.12,10,4326445.5,5820776.5,0,2.88,135972.95,0,307735.31,784685.25,63662.4,710117.06,0,0,1110.64,3848922.75,579217.94,8193.92,0,1712.52,36716.13,1207566.62,389959.41,588086.5,45391.42,684112.88,23238.92,60796.59,221679.84,0,0.01,798.98
2019-01-02T18:00:00,0,0,0,0,0,2852.76,2578572.75,1663647.62,84995.04,0.36,0.12,10,4326571,5820951,0,2.88,135975.36,0,307756.25,784707.69,63663.16,710151.62,0,0,1110.64,3849017.25,579246.25,8193.92,0,1712.52,36717.21,1207581.25,389969.41,588104.25,45391.42,684112.88,23239.16,60797.88,221684.36,0,0.01,798.98
2019-01-02T19:00:00,0,0,0,0,0,2853.48,2578635.75,1663702.75,84995.04,0.36,0.12,10,4326690.5,5821118,0,2.88,135977.28,0,307777.19,784729.62,63663.4,710186.56,0,0,1110.64,3849106.75,579272,8193.92,0,1712.56,36717.93,1207596.12,389976.75,588122,45391.42,684112.88,23239.48,60799.62,221688.88,0,0.01,798.98
2019-01-02T20:00:00,0,0,0,0,0,2854.2,2578698.75,1663755.25,84995.04,0.36,0.12,10,4326807.5,5821283.5,0,2.88,135979.2,0,307798.12,784751.5,63663.56,710220.06,0,0,1110.64,3849194.75,579297.25,8193.92,0,1712.56,36718.59,1207610.88,389984.12,588139.62,45391.42,684112.88,23239.72,60800.67,221693.36,0,0.01,798.98
2019-01-02T21:00:00,0,0,0,0,0,2854.92,2578761.5,1663804.75,84995.04,0.36,0.12,10,4326921.5,5821445,0,2.88,135981.12,0,307819.12,784773.5,63663.76,710251.5,0,0,1110.64,3849280.5,579321.75,8193.92,0,1712.56,36719.28,1207624.75,389991.47,588156.94,45391.42,684112.88,23239.98,60801.51,221697.88,0,0.01,798.98
