date_time,1A01_1,1A02_1,1A03_1,1A04_1,1A04_2,1A04_3,1A05_1,1A05_2,1A05_3,1A05_4,1A06_1,1A06_2,1A06_3,1A06_4,1A06_5,1A07_1,1A07_2,1A07_3,1A07_4,1A07_5,1A07_6,1A07_7,2A01_1,2A02_1,2A03_1,2A04_1,2A05_1,2A05_2,2A05_3,2A05_4,2A06_1,2A06_2,2A06_3,2A06_4,2A06_5,2A07_1,2A07_2,2A08_1,2A08_2,2A08_3,2A08_4,2A08_5,2A08_6,2A08_7,2A08_8,2A08_9,2A09_1,2A09_2,2A09_3,2A09_4,2A09_5,2A09_6,2A09_7,2A09_8,2A09_9,2A10_1,2A10_2,2A10_3,2A10_4,2A10_5,2A10_6,2A10_7,2A10_8,2A10_9
2019-01-02T06:00:00,5715551,0,0,1412369.75,450856.41,98.94,829435.5,517782.25,389178.97,0,347455.03,389578.75,53276,0,0,145102.08,129904.9,229440.88,396381.59,0,0,0,0,6572061.5,1.35,0.3,1465618.5,969903.38,642894.12,268706.75,404014.97,359704.94,576268.62,375273.03,0,1549321.62,213.6,154.43,166.14,54464.61,69031.67,40122,55220.96,19769.61,0,0,18160.74,12702.02,23603.58,10137.3,11227.75,10932.08,8776.6,0,0,762.65,697.07,64270.93,79243.64,12907.3,4729.67,1037611,10812.09,5941.29
2019-01-02T07:00:00,5715594.5,0,0,1412387.12,450863.12,98.94,829444,517784.97,389180.81,0,347457.84,389578.75,53276,0,0,145103.52,129905.26,229440.94,396381.59,0,0,0,0,6572142.5,1.35,0.3,1465639.88,969917.88,642896.75,268710.12,404017.53,359706.47,576270.56,375277.38,0,1549350,213.6,154.44,166.14,54465.81,69033.04,40122.48,55221.48,19769.76,0,0,18161.04,12702.18,23604.15,10137.5,11227.8,10932.08,8776.65,0,0,762.67,697.08,64272,79244.33,12907.34,4729.74,1037632,10812.47,5941.45
2019-01-02T08:00:00,5715639.5,0,0,1412405,450870.28,98.94,829452.5,517787.84,389182.56,0,347460.66,389578.75,53276,0,0,145105.05,129905.6,229440.95,396381.59,0,0,0,0,6572226,1.35,0.3,1465663.38,969932.88,642899.5,268713.69,404020,359708.09,576272.5,375281.91,0,1549378.38,213.6,154.44,166.14,54467.02,69034.43,40122.76,55222,19769.94,0,0,18161.34,12702.34,23604.84,10137.65,11227.85,10932.12,8776.65,0,0,762.68,697.1,64273.06,79245,12907.38,4729.8,1037652.38,10812.85,5941.63
2019-01-02T09:00:00,5715701.5,0,0,1412426.5,450879.44,98.94,829460.81,517790.88,389186.97,0,347463.47,389578.75,53276,0,0,145106.81,129906.02,229441.02,396381.59,0,0,0,0,6572318,1.35,0.3,1465689.62,969951.19,642902.19,268717.12,404022.41,359709.69,576275.94,375287.12,0,1549407.62,213.6,154.44,166.14,54468.23,69035.81,40123.48,55222.8,19770.36,0,0,18161.64,12702.61,23605.51,10137.85,11227.9,10932.16,8776.7,0,0,762.7,697.11,64274.14,79245.98,12907.42,4729.87,1037672.38,10813.23,5941.8
2019-01-02T10:00:00,5715786,0,0,1412456.38,450892.97,98.94,829469.25,517798.56,389194.16,0,347466.25,389578.75,53276,0,0,145109.7,129906.44,229441.08,396381.59,0,0,0,0,6572452,1.35,0.3,1465721.25,969972.12,642904.94,268720.84,404032.88,359717.88,576292.25,375296.47,0,1549438.38,213.6,154.44,166.16,54469.43,69037.19,40124.92,55224.24,19771.44,0,0,18161.94,12702.83,23606.31,10138.05,11227.9,10932.2,8776.7,0,0,762.72,697.12,64275.2,79246.95,12907.46,4729.94,1037692.19,10813.61,5941.96
2019-01-02T11:00:00,5715879.5,0,0,1412490.12,450908,98.94,829478.75,517808.81,389207.28,0,347469.12,389578.75,53276,0,0,145111.34,129906.86,229441.14,396381.59,0,0,0,0,6572603.5,1.35,0.3,1465759.25,969994,642907.56,268725.44,404046.81,359725.44,576315.38,375306.97,0,1549468.38,213.6,154.45,166.16,54470.64,69038.57,40125.92,55225.52,19772.4,0,0,18162.24,12703.1,23607.02,10138.25,11227.95,10932.24,8776.75,0,0,762.73,697.14,64276.28,79247.93,12907.49,4730,1037711.81,10813.99,5942.14
2019-01-02T12:00:00,5715985.5,0,0,1412524,450922.28,98.94,829487.5,517826.41,389225.19,0,347471.94,389578.75,53276,0,0,145112.97,129907.28,229441.2,396381.59,0,0,0,0,6572759.5,1.35,0.3,1465798.5,970015.88,642910.31,268730.06,404061.44,359732.88,576339.25,375318.56,0,1549499.25,213.6,154.45,166.16,54471.84,69039.95,40127.04,55226.92,19773.51,0,0,18162.51,12703.3,23607.67,10138.45,11228,10932.28,8776.8,0,0,762.75,697.15,64277.35,79248.9,12907.53,4730.06,1037732,10814.37,5942.31
2019-01-02T13:00:00,5716096.5,0,0,1412558.12,450936.56,98.94,829496.5,517842.25,389243.12,0,347474.69,389578.75,53276,0,0,145115.16,129907.7,229441.27,396381.59,0,0,0,0,6572910,1.35,0.3,1465835.88,970038.5,642912.94,268735.25,404074.16,359739.81,576362.31,375329.19,0,1549529.62,213.6,154.45,166.16,54473.05,69041.34,40127.88,55228.4,19774.23,0,0,18162.81,12703.52,23608.29,10138.6,11228.05,10932.32,8776.8,0,0,762.77,697.17,64278.42,79249.87,12907.57,4730.13,1037752.19,10814.74,5942.48
2019-01-02T14:00:00,5716209,0,0,1412588.25,450948.53,98.94,829508.81,517859.84,389257.28,0,347477.75,389578.75,53276,0,0,145119.06,129908.12,229441.3,396381.59,0,0,0,0,6573045,1.35,0.3,1465871.62,970059.19,642915.75,268740.22,404080.09,359747.09,576380.19,375339.19,0,1549560,213.6,154.45,166.17,54474.25,69042.72,40128.96,55229.72,19775.01,0,0,18163.11,12703.75,23608.9,10138.95,11228.05,10932.32,8776.85,0,0,762.78,697.18,64279.49,79250.85,12907.61,4730.19,1037772.31,10815.13,5942.66
2019-01-02T15:00:00,5716323,0,0,1412621.75,450962.47,98.94,829520.19,517880,389272.16,0,347480.53,389578.75,53276,0,0,145120.86,129908.52,229441.34,396381.59,0,0,0,0,6573191.5,1.35,0.3,1465909.25,970081.62,642918.38,268745.12,404088.97,359754.78,576402.75,375349.38,0,1549590.75,213.6,154.46,166.17,54475.46,69044.1,40130.44,55231.16,19775.88,0,0,18163.41,12704,23609.59,10139.15,11228.1,10932.36,8776.85,0,0,762.8,697.2,64280.56,79251.82,12907.65,4730.26,1037792.38,10815.5,5942.82
